ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Gamepad,120.34,0,0,-0.274367,0.03087771
Gamepad,120.36,0,0,-0.380455,0.05007092
Gamepad,120.38,0,0,-0.3075263,0.02680747
Gamepad,120.4,0,0,-0.03125036,0.00521113
Gamepad,120.42,0,0,0.001375139,0.01150167
Gamepad,120.44,0,0,0.0005553365,0.004348896
Gamepad,120.46,0,0,0.0004938841,0.00374712
Gamepad,120.48,0,0,0.0001075864,0.0008022338
Gamepad,120.52,0,0,0.0003023744,0.002227098
Gamepad,120.54,0,0,8.946657E-05,0.0006528944
Gamepad,120.56,0,0,0.001046836,0.007406399
Gamepad,120.58,0,0,0.000376761,0.002571806
Gamepad,120.6,0,0,0.0009356141,0.006195635
Gamepad,120.62,0,0,0.00072366,0.004620194
Gamepad,120.64,0,0,0.002938509,0.01747948
Gamepad,120.66,0,0,0.235192,0.04898393
Gamepad,120.68,0,0,0.7494615,-0.2235046
Gamepad,121.22,0,0,-0.3833578,-0.3466257
Gamepad,121.24,0,0,-0.3698375,-0.3111713
Gamepad,121.26,0,0,-0.001348913,0.001547694
Gamepad,121.28,0,0,-0.002073586,0.002391756
Gamepad,121.3,0,0,-0.01555848,0.01844901
Gamepad,121.32,0,0,-0.02310592,0.02916896
Gamepad,121.34,0,0,-0.01139504,0.01524711
Gamepad,121.36,0,0,0.5114593,0.4297408
Gamepad,121.38,0,0,0.2952179,0.1612517
Gamepad,121.6,0,0,0.1612782,-0.02127743
Gamepad,121.62,0,0,0.5283994,-0.0236038
Gamepad,121.64,0,0,0.3089848,-0.006823376
Gamepad,121.66,0,0,-0.0001620054,-0.003038853
Gamepad,121.68,0,0,-0.0004017949,-0.006892409
Gamepad,121.7,0,0,-0.0003950596,-0.006095611
Gamepad,121.72,0,0,-0.0009565949,-0.01286308
Gamepad,121.74,0,0,-0.0009797812,-0.0113166
Gamepad,121.76,0,0,-0.001080871,-0.01104079
Gamepad,121.78,0.3192645,0.03658898,-0.001087666,-0.01001523
Gamepad,121.8,0.6582444,0.01106032,-0.002066314,-0.01689205
Gamepad,121.82,0.02151549,-0.003487006,-0.0004097819,-0.003091991
Gamepad,121.84,0,0,-0.00118345,-0.008542061
Gamepad,121.86,0,0,-0.0002125502,-0.001479819
Gamepad,121.88,0,0,-0.0004621744,-0.003163621
Gamepad,121.9,0,0,-0.0002943873,-0.001978636
Gamepad,121.94,0,0,-0.0001374483,-0.0009149611
Gamepad,122.02,0,0,-0.0003042817,-0.002005517
Gamepad,122.04,0,0,-0.0001446009,-0.0009431243
Gamepad,122.06,0,0,-0.0003237724,-0.002091154
Gamepad,122.08,0,0,-0.0001149774,-0.0007358193
Gamepad,122.14,0,0,-0.0003482699,-0.002205908
Gamepad,122.24,0,0,-0.0001170635,-0.0007347763
Gamepad,122.6,-0.9990244,-0.0441623,0,0
Gamepad,122.94,0,0,-0.0003401041,-0.002114683
Gamepad,124.04,0.280826,0.1581468,0,0
Gamepad,124.06,0.2932156,0.2859722,0,0
Gamepad,124.08,0.2915702,0.05659676,0,0
Gamepad,124.1,-0.01865649,0.03094822,0,0
Gamepad,124.12,-0.01226491,0.01905549,0.00177747,0.01139173
Gamepad,124.14,-0.007892668,0.01178002,-1.46237,0.05016932
Gamepad,124.16,-0.006928265,0.01005095,0.4734527,0.09830025
Gamepad,124.18,-0.003559232,0.005063355,0,0
Gamepad,124.2,-0.0005733967,0.0008094907,0,0
Gamepad,124.22,-0.0008673072,0.00122118,0,0
Gamepad,124.24,-0.0005470514,0.0007681847,0,0
Gamepad,124.26,-0.001107454,0.001550615,0,0
Gamepad,124.28,-0.004602015,0.006377518,0,0
Gamepad,124.3,-0.002373338,0.003248215,0,0
Gamepad,124.32,-0.004943252,0.006678402,0,0
Gamepad,124.34,-0.002595723,0.003461123,0,0
Gamepad,124.36,-0.0008382797,0.001110911,0,0
Gamepad,124.38,-0.0005985498,0.0007914901,0,0
Gamepad,124.44,-0.002481341,0.003263414,0,0
Gamepad,124.46,-0.001283348,0.001676917,0,0
Gamepad,124.48,-0.0008684993,0.00113076,0,0
Gamepad,124.5,-0.0006278753,0.0008153319,0,0
Gamepad,124.52,-0.0007478595,0.0009689927,0,0
Gamepad,124.56,-0.0005607605,0.0007249713,0,0
Gamepad,124.64,0,0,0.3584621,0.0605241
Gamepad,124.66,0,0,0.2801443,0.04004494
Gamepad,124.68,0,0,0.1036363,0.06875046
Gamepad,124.7,0,0,0.2390456,0.02322471
Gamepad,124.72,0,0,-0.003283918,0.01603997
Gamepad,124.74,0,0,-0.001734376,0.007972375
Gamepad,124.76,0,0,-0.0003539324,0.001589432
Gamepad,124.78,0,0,-0.0003178716,0.001417592
Gamepad,124.8,-0.001347899,0.001736879,-0.001270711,0.005571753
Gamepad,124.82,-0.02225369,0.02758825,-0.003925204,0.01635841
Gamepad,124.84,-0.05063689,0.05609608,-0.006245375,0.0238388
Gamepad,124.86,-0.04201895,0.04070008,-0.003289163,0.01167479
Gamepad,124.88,-0.05319309,0.04528481,-0.003123939,0.01061535
Gamepad,124.9,-0.05225182,0.03872579,-0.002393544,0.007852972
Gamepad,124.92,-0.07389244,0.04649311,-0.002285779,0.007291585
Gamepad,124.94,-0.0350706,0.01906759,-0.0009689927,0.003033578
Gamepad,124.96,-0.03199723,0.01585984,-0.0009596944,0.002971858
Gamepad,124.98,-0.02039444,0.009380162,-0.007597804,0.02249169
Gamepad,125,-0.004668057,0.002069712,-0.01831269,0.0153307
Gamepad,125.02,-0.003845781,0.001683652,-0.08663672,-0.03385171
Gamepad,125.04,-0.001640856,0.0007124543,-0.08059561,-0.04712415
Gamepad,125.06,0.02211925,-0.009901345,-0.1201209,-0.09467164
Gamepad,125.08,0.03726703,-0.01817429,-0.04215956,-0.03793092
Gamepad,125.1,0.04827684,-0.02649993,-0.05466533,-0.0406225
Gamepad,125.12,0.0326376,-0.01995105,-0.07398552,-0.02664535
Gamepad,125.14,0.01244336,-0.008067608,-0.07105142,-0.01256073
Gamepad,125.16,0.007784784,-0.005182087,-0.0695343,-0.009812292
Gamepad,125.18,0.005021751,-0.003399014,-0.06414318,-0.007763974
Gamepad,125.2,0.003120422,-0.002134681,-0.05967826,-0.006784827
Gamepad,125.22,0.001294434,-0.0008904934,-0.06133066,-0.00651749
Gamepad,125.24,0.002078176,-0.001436055,-0.1214654,-0.01767904
Gamepad,125.26,0.0007122755,-0.0004939437,-0.01985841,-0.004630471
Gamepad,125.28,0.001063108,-0.0007389188,0,0
Gamepad,125.3,0.007262111,-0.005102992,0,0
Gamepad,125.32,0.01821333,-0.01323014,0,0
