ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Keyboard&Mouse,0.5399998,0,0,14,-7
Keyboard&Mouse,0.5799998,0,0,-13,7
Keyboard&Mouse,0.5999998,0,0,-1,0
Keyboard&Mouse,0.6199998,0,0,3,-1
Keyboard&Mouse,0.6399997,0,0,1,-1
Keyboard&Mouse,0.6599998,0,0,-3,1
Keyboard&Mouse,0.6999997,0,0,-1,0
Keyboard&Mouse,0.7199997,0,0,4,-1
Keyboard&Mouse,0.7399997,0,0,-2,1
Keyboard&Mouse,0.7599998,0,0,-2,0
Keyboard&Mouse,0.7799997,0,0,1,1
Keyboard&Mouse,0.8199997,0,0,0,-1
Keyboard&Mouse,0.8399997,0,0,0,1
Keyboard&Mouse,0.8599997,0,0,0,-1
Keyboard&Mouse,0.8799997,0,0,1,1
Keyboard&Mouse,0.8999997,0,0,-1,0
Keyboard&Mouse,0.9199997,0,0,1,0
Keyboard&Mouse,0.9399996,0,0,-1,-1
Keyboard&Mouse,0.9599997,0,0,3,0
Keyboard&Mouse,0.9799997,0,0,-2,0
Keyboard&Mouse,1.02,0,0,-1,1
Keyboard&Mouse,1.04,0,0,0,-1
Keyboard&Mouse,1.06,0,0,0,1
Keyboard&Mouse,1.1,0,0,0,-1
Keyboard&Mouse,1.12,0,0,-1,1
Keyboard&Mouse,1.18,0,0,1,-1
Keyboard&Mouse,1.2,0,0,0,1
Keyboard&Mouse,1.22,0,0,-1,0
Keyboard&Mouse,1.34,0,1,1,0
Keyboard&Mouse,1.36,0,0,-1,0
Keyboard&Mouse,1.419999,0,0,1,2
Keyboard&Mouse,1.439999,0,0,0,-1
Keyboard&Mouse,1.459999,0,0,1,0
Keyboard&Mouse,1.5,0,0,-1,0
Keyboard&Mouse,1.52,0,0,-1,-1
Keyboard&Mouse,1.639999,0,-1,0,0
Keyboard&Mouse,1.839999,0,0,3,0
Keyboard&Mouse,1.859999,0,0,6,-1
Keyboard&Mouse,1.879999,0,0,-1,0
Keyboard&Mouse,1.899999,0,0,-1,1
Keyboard&Mouse,1.919999,0,0,-1,-1
Keyboard&Mouse,1.939999,0,0,10,0
Keyboard&Mouse,1.959999,0,0,-3,0
Keyboard&Mouse,1.979999,0,0,2,1
Keyboard&Mouse,1.999999,0,0,-3,0
Keyboard&Mouse,2.019999,0,0,-4,0
Keyboard&Mouse,2.039999,0,0,-3,0
Keyboard&Mouse,2.059999,0,0,7,0
Keyboard&Mouse,2.079999,0,0,2,0
Keyboard&Mouse,2.099999,0,0,2,0
Keyboard&Mouse,2.119999,0,0,1,1
Keyboard&Mouse,2.139999,0,0,-9,0
Keyboard&Mouse,2.159999,0,0,4,-1
Keyboard&Mouse,2.179999,0,0,1,-1
Keyboard&Mouse,2.199999,0,0,-4,1
Keyboard&Mouse,2.219999,0,0,-6,-1
Keyboard&Mouse,2.239999,0,0,-3,1
Keyboard&Mouse,2.419999,0,0,1,0
Keyboard&Mouse,2.439999,0,0,-1,0
Keyboard&Mouse,2.519999,0,0,-1,0
Keyboard&Mouse,2.539999,0,0,-9,-6
Keyboard&Mouse,2.559999,0,0,-8,0
Keyboard&Mouse,2.579999,0,0,0,1
Keyboard&Mouse,2.599999,0,0,5,2
Keyboard&Mouse,2.619999,0,0,3,2
Keyboard&Mouse,2.639999,0,0,0,1
Keyboard&Mouse,2.659999,0,0,2,0
Keyboard&Mouse,2.679999,0,0,1,0
Keyboard&Mouse,2.699999,0,0,-1,0
